List,reference,Source,plant,Cultivar,compound,subC,family,Class,concentration,SD,unit,plant_part,plant_material,method,Season,location,year,DM,percDM,n,Treatment,T.conc
1,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Chrysin,Chrysin,Flavone,Flavonoid,2.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
2,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Naringenin,Naringenin,Flavanone,Flavonoid,87,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
3,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,11.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
4,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,156,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
5,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,6,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
6,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Chrysin,Chrysin,Flavone,Flavonoid,3.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
7,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Naringenin,Naringenin,Flavanone,Flavonoid,31.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
8,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,17,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
9,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,405,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
10,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,8.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
11,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Chrysin,Chrysin,Flavone,Phytoestrogen,4.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
12,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Naringenin,Naringenin,Flavanone,Phytoestrogen,175.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
13,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,888.7,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
14,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,11420,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
15,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,913,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
16,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Chrysin,Chrysin,Flavone,Phytoestrogen,64.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
17,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Naringenin,Naringenin,Flavanone,Phytoestrogen,72.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
18,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,3.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
19,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,60,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
20,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,37.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
21,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,0.105,0.11,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
22,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,0.141,0.12,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
23,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.014,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
24,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.173,0.07,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
25,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.071,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
26,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.057,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
27,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,0.005,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
28,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,3.697,1.4,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
29,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,4.315,1.55,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
30,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.177,0.06,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
31,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.943,0.35,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
32,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.462,0.2,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
33,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.232,0.11,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
